name,coef,影响方向
cat__Exterior 2nd_Stucco,-0.0,负向降价
cat__Exterior 2nd_VinylSd,0.0,负向降价
cat__Exterior 2nd_Wd Sdng,-0.0,负向降价
cat__Exterior 2nd_Wd Shng,-0.0,负向降价
cat__Mas Vnr Type_BrkCmn,-0.0,负向降价
cat__Mas Vnr Type_BrkFace,0.0,负向降价
cat__Mas Vnr Type_CBlock,-0.0,负向降价
cat__Mas Vnr Type_Missing,-0.0,负向降价
cat__Mas Vnr Type_Stone,0.0,负向降价
cat__Exter Qual_Ex,0.0,负向降价
cat__Exter Qual_Fa,-0.0,负向降价
cat__Exter Qual_Gd,0.0,负向降价
cat__Exter Qual_TA,-0.0,负向降价
cat__Exter Cond_Ex,0.0,负向降价
cat__Exter Cond_Fa,-0.0,负向降价
cat__Exter Cond_Gd,-0.0,负向降价
cat__Exter Cond_Po,-0.0,负向降价
cat__Exter Cond_TA,0.0,负向降价
cat__Foundation_BrkTil,-0.0,负向降价
cat__Foundation_CBlock,-0.0,负向降价
cat__Foundation_PConc,0.0,负向降价
cat__Foundation_Slab,-0.0,负向降价
cat__Foundation_Stone,-0.0,负向降价
cat__Foundation_Wood,0.0,负向降价
cat__Bsmt Qual_Ex,0.0,负向降价
cat__Bsmt Qual_Fa,-0.0,负向降价
cat__Bsmt Qual_Gd,0.0,负向降价
cat__Bsmt Qual_Missing,-0.0,负向降价
cat__Bsmt Qual_Po,-0.0,负向降价
cat__Bsmt Qual_TA,-0.0,负向降价
cat__Bsmt Cond_Ex,0.0,负向降价
cat__Bsmt Cond_Fa,-0.0,负向降价
cat__Bsmt Cond_Gd,0.0,负向降价
cat__Bsmt Cond_Missing,-0.0,负向降价
cat__Bsmt Cond_Po,-0.0,负向降价
cat__Bsmt Cond_TA,0.0,负向降价
cat__Bsmt Exposure_Av,0.0,负向降价
cat__Bsmt Exposure_Gd,0.0,负向降价
cat__Bsmt Exposure_Missing,-0.0,负向降价
cat__Bsmt Exposure_Mn,0.0,负向降价
cat__Bsmt Exposure_No,-0.0,负向降价
cat__BsmtFin Type 1_ALQ,-0.0,负向降价
cat__BsmtFin Type 1_BLQ,-0.0,负向降价
cat__BsmtFin Type 1_GLQ,0.0,负向降价
cat__BsmtFin Type 1_LwQ,-0.0,负向降价
cat__BsmtFin Type 1_Missing,-0.0,负向降价
cat__BsmtFin Type 1_Rec,-0.0,负向降价
cat__BsmtFin Type 1_Unf,-0.0,负向降价
cat__BsmtFin Type 2_ALQ,0.0,负向降价
cat__BsmtFin Type 2_BLQ,-0.0,负向降价
cat__BsmtFin Type 2_GLQ,0.0,负向降价
cat__BsmtFin Type 2_LwQ,-0.0,负向降价
cat__BsmtFin Type 2_Missing,-0.0,负向降价
cat__BsmtFin Type 2_Rec,-0.0,负向降价
cat__BsmtFin Type 2_Unf,0.0,负向降价
cat__Heating_Floor,-0.0,负向降价
cat__Heating_GasA,0.0,负向降价
cat__Heating_GasW,-0.0,负向降价
cat__Heating_Grav,-0.0,负向降价
cat__Heating_OthW,-0.0,负向降价
cat__Heating_Wall,-0.0,负向降价
cat__Heating QC_Ex,0.0,负向降价
cat__Heating QC_Fa,-0.0,负向降价
cat__Heating QC_Gd,-0.0,负向降价
cat__Heating QC_Po,-0.0,负向降价
cat__Heating QC_TA,-0.0,负向降价
cat__Central Air_N,-0.0,负向降价
cat__Central Air_Y,0.0,负向降价
cat__Electrical_FuseA,-0.0,负向降价
cat__Electrical_FuseF,-0.0,负向降价
cat__Electrical_FuseP,-0.0,负向降价
cat__Electrical_Mix,-0.0,负向降价
cat__Electrical_SBrkr,0.0,负向降价
cat__Kitchen Qual_Ex,0.0,负向降价
cat__Kitchen Qual_Fa,-0.0,负向降价
cat__Kitchen Qual_Gd,0.0,负向降价
cat__Kitchen Qual_TA,-0.0,负向降价
